Tarih; Kredi_Hacmi; Faiz_Orani; Tuketici_Guveni; USD_TRY; TUFE
01.05.2018; 412818232; 18.5725; 90.94874696; 4.422081818; 348.34
01.06.2018; 419645524; 19.172; 91.05238239; 4.63655; 357.44
01.07.2018; 421454058; 22.7625; 92.92046998; 4.756554545; 359.41
01.08.2018; 420466021; 27.956; 88.70138173; 5.740522222; 367.66
01.09.2018; 415189694; 34.5675; 81.14839561; 6.37834; 390.84
01.10.2018; 408839722; 37.6825; 78.41815398; 5.869927273; 401.27
01.11.2018; 403565539; 35.24; 80.94738021; 5.383172727; 395.48
01.12.2018; 399613503; 33.065; 79.66066557; 5.315690476; 393.88
01.01.2019; 395603136; 30.4925; 80.11330377; 5.379072727; 398.07
01.02.2019; 395138765; 26.175; 78.79038966; 5.27153; 398.71
01.03.2019; 403089592; 22.77; 81.10049382; 5.451742857; 402.81
01.04.2019; 404070990; 24.3225; 83.61170614; 5.746104762; 409.63
01.05.2019; 402710682; 27.846; 77.04567514; 6.060359091; 413.52
01.06.2019; 402046323; 28.5775; 80.09404011; 5.8224; 413.63
01.07.2019; 401146455; 26.92; 78.93809794; 5.682395455; 419.24
01.08.2019; 408961009; 21.166; 79.60414532; 5.634905556; 422.84
01.09.2019; 421711761; 18.2525; 77.63885503; 5.723090476; 427.04
01.10.2019; 434335411; 17.1775; 78.17048933; 5.794959091; 435.59
01.11.2019; 450343037; 16.226; 81.24018395; 5.741547619; 437.25
01.12.2019; 464541398; 15.345; 80.48867194; 5.84815; 440.5
01.01.2020; 480467790; 14.606; 81.11781199; 5.928827273; 446.45
01.02.2020; 497083886; 13.835; 79.29114811; 6.05537; 448.02
01.03.2020; 509851733; 14.04; 80.9837989; 6.325804545; 450.58
01.04.2020; 527448107; 12.065; 78.17727508; 6.831252381; 454.43
01.05.2020; 541128928; 10.682; 82.85047469; 6.964488235; 460.62
01.06.2020; 577897970; 11.3975; 82.97922262; 6.821090909; 465.84
01.07.2020; 631621063; 11.006; 82.82247177; 6.863452381; 468.56
01.08.2020; 656384990; 14.3925; 79.77182328; 7.26525; 472.61
01.09.2020; 662826937; 17.2725; 81.90815673; 7.521322727; 477.21
01.10.2020; 669447920; 18.454; 81.54335148; 7.888071429; 487.38
01.11.2020; 674868931; 19.865; 79.9841112; 8.017761905; 498.58
01.12.2020; 675832186; 21.915; 79.79660143; 7.734969565; 504.81
01.01.2021; 676499887; 22.116; 82.86952357; 7.407285; 513.3
01.02.2021; 682084922; 21.725; 84.10742231; 7.085125; 517.96
01.03.2021; 689956886; 21.725; 86.62952308; 7.641969565; 523.53
01.04.2021; 693690173; 23.014; 80.25356807; 8.169719048; 532.32
01.05.2021; 694806259; 23.0275; 77.52774271; 8.357272222; 537.05
01.06.2021; 704547450; 22.3425; 81.9708423; 8.612154545; 547.48
01.07.2021; 713747268; 22.152; 80.09376671; 8.628464706; 557.36
01.08.2021; 723827032; 22.1075; 78.49322864; 8.490961905; 563.6
01.09.2021; 733445286; 22.3125; 79.60433638; 8.527204545; 570.66
01.10.2021; 743044753; 22.214; 76.46037543; 9.1564; 584.32
01.11.2021; 757549969; 21.99; 70.84798367; 10.54221364; 604.84
01.12.2021; 776785800; 24.154; 68.51105049; 13.55286087; 686.95
01.01.2022; 776550645; 28.705; 72.74467146; 13.54361429; 763.23
01.02.2022; 784008415; 27.35; 70.76649429; 13.645665; 799.93
01.03.2022; 797387005; 26.3925; 72.56592991; 14.59184348; 843.64
01.04.2022; 827154954; 25.416; 67.28; 14.71002381; 904.79
01.05.2022; 867189799; 26.4875; 67.76; 15.65205556; 931.76
01.06.2022; 905754149; 27.27; 63.41; 16.99527273; 977.9
01.07.2022; 927348590; 31.43; 68.51; 17.41873889; "1; 001.03"
01.08.2022; 940142300; 31.4125; 72.73; 18.02737727; "1; 015.65"
01.09.2022; 964085441; 30.878; 72.87; 18.3144; "1; 046.89"
01.10.2022; 987547936; 30.25; 76.25; 18.59806667; "1; 084.00"
01.11.2022; 1019491055; 29.665; 76.58; 18.62438182; "1; 115.26"
01.12.2022; 1083183583; 29.006; 75.38; 18.67054545; "1; 128.45"
01.01.2023; 1119281624; 29.0525; 79.1; 18.79137273; "1; 203.48"
01.02.2023; 1185099447; 28.69; 82.5; 18.85721; "1; 241.33"
